record_id,vehicle_model,manufacturing_year,mileage_km,component,feedback,service_center,date_reported,language_hint,domain
C00001,GLC 300,2024,72128,Burmester audio,Burmester audio system has static on the right rear speaker. €4000 option btw. Cool cool cool.,Mercedes Amsterdam Zuid,2025-02-14,en,display_infotainment
C00002,AMG GT 53,2025,34195,auto-dimming mirror,Power window on driver side decides whether to work each morning. It's like a coin flip. A €600 coin flip when it dies fully.,Mercedes-Benz Copenhagen,2026-03-18,en,interior
C00003,CLS 350d,2018,53106,steering wheel heater,La cámara de marcha atrás se ve negra cuando llueve. Justo cuando la necesito. Magnífico.,Daimler München Mitte,2025-02-09,es,interior
C00004,A 180,2025,14421,high voltage battery,No serio?? Kupiłem nowego Mercedesa i bluetooth się rozłącza co minutę. Słabo to wygląda.,Mercedes-Benz of Mayfair London,2025-11-01,pl,powertrain
C00005,EQE 350,2025,22669,backup camera,Sædevarmen fungerer kun nogle gange. Tilfældigt. Jeg har givet op og købt et tæppe.,Daimler München Mitte,2025-08-22,da,display_infotainment
C00006,E 220d,2022,53450,coolant system,"Klimatyzacja dmucha zimnym z jednej strony, gorącym z drugiej. To jest jakiś żart??",Mercedes-Benz Brussels,2026-01-07,pl,powertrain
C00007,G 400d,2026,1792,backup camera,Frustrated beyond words. Backup camera shows a black screen every time it rains. So basically useless when I actually need it.,Mercedes-Benz Copenhagen,2026-04-03,en,display_infotainment
C00008,EQC 400,2026,2012,armrest,La calefacción del asiento solo funciona el lunes (broma). En realidad funciona aleatoriamente.,Sytner Manchester,2026-04-10,es,interior
C00009,A 200,2022,43845,coolant system,La caméra de recul est noire dès qu'il pleut. Donc inutile 6 mois par an en France. Bravo.,Auto-Heinrich Frankfurt,2026-04-20,fr,powertrain
C00010,CLA 200,2024,30712,climate control,"I just want to vent — climate control blows ice cold on driver side and SAUNA on passenger side. Three visits, no fix. I'm done.",Itra Barcelona,2025-03-05,en,interior
C00011,EQA 250,2025,15717,12V battery,"Mein Händler sagt 'das ist normal'. Sorry aber NEIN, das ist NICHT normal wenn der Bildschirm 3x am Tag abstürzt.",Mercedes-Benz Copenhagen,2025-09-12,de,powertrain
