record_id,domain,clean_text,component,failure_type,cluster_id
000000,interior,"Ambient lighting flickers randomly at night, mostly around the dashboard area. !!! please fix this asap",ambient lighting,,22
000001,interior,Power window switch on the rear-right door is stuck and the window won't go down. !!! please fix this asap,power window,stuck,62
000002,interior,Cup holder in the center console is cracked and no longer holds bottles securely.,cup holder,cracked,5
000003,interior,Sun visor on the driver side hangs loose and will not stay up.,sun visor,loose,47
000004,interior,Floor mat on the driver side keeps sliding forward and blocking the pedals.,floor mat,,56
000005,interior,Dashboard creaks loudly especially in cold weather.,dashboard,,7
000006,interior,Cabin filter smells musty even after replacement. more info:,cabin filter,,57
000007,interior,Power window switch on the rear-left door is stuck and the window won't go down.,power window,stuck,62
000008,interior,Seat belt on the rear left is jammed and won't retract properly.,seat belt,jammed,61
000009,interior,Floor mat on the driver side keeps sliding forward and blocking the pedals. VIN: <VIN>,floor mat,,56
000010,interior,Cup holder in the center console is cracked and no longer holds bottles securely.,cup holder,cracked,5
000011,interior,"Glove box latch is broken, the lid keeps falling open while driving.",glove box,broken,49
000012,interior,Reading light over the rear seat does not turn on at all.,reading light,,52
000013,interior,The leather on the steering wheel is peeling after only 6 months.,steering wheel,peeling,42
000014,interior,Sun visor on the driver side hangs loose and will not stay up.,sun visor,loose,47
000015,interior,Side mirror does not fold automatically when locking the car.,side mirror,,53
000016,interior,"Glove box latch is broken, the lid keeps falling open while driving.",glove box,broken,49
000017,interior,Seat belt on the rear left is jammed and won't retract properly.,seat belt,jammed,61
000018,interior,Cup holder in the center console is cracked and no longer holds bottles securely.,cup holder,cracked,5
000019,interior,Side mirror does not fold automatically when locking the car.,side mirror,,53
000020,interior,Side mirror does not fold automatically when locking the car.,side mirror,,53
000021,interior,Sunroof makes a loud rattling noise when driving over bumps.,sunroof,rattling,60
000022,interior,Air conditioning blows warm air on the driver side even when set to cold.,air conditioning,,45
000023,interior,Floor mat on the driver side keeps sliding forward and blocking the pedals.,floor mat,,56
000024,interior,The leather on the steering wheel is peeling after only 3 months.,steering wheel,peeling,42
000025,interior,"Ambient lighting flickers randomly at night, mostly around the dashboard area.",ambient lighting,,22
000026,interior,Dashboard creaks loudly especially in cold weather.,dashboard,,7
000027,interior,Cabin filter smells musty even after replacement.,cabin filter,,57
000028,interior,Reading light over the rear seat does not turn on at all.,reading light,,52
000029,interior,"Glove box latch is broken, the lid keeps falling open while driving.",glove box,broken,49
000030,interior,"Rear seat heater is unresponsive on the left side, right side works fine. VIN: <VIN>",seat heater,unresponsive,54
000031,interior,Air conditioning blows warm air on the driver side even when set to cold. !!! please fix this asap,air conditioning,,45
000032,interior,"The driver seat heater stopped working after 23 months, only the passenger side gets warm.",driver seat,,44
000033,interior,Reading light over the rear seat does not turn on at all.,reading light,,52
000034,interior,"Glove box latch is broken, the lid keeps falling open while driving.",glove box,broken,49
000035,interior,"Rear seat heater is unresponsive on the left side, right side works fine.",seat heater,unresponsive,54
000036,interior,"Glove box latch is broken, the lid keeps falling open while driving.",glove box,broken,49
000037,interior,Sunroof makes a loud rattling noise when driving over bumps.,sunroof,rattling,60
000038,interior,HEADREST IN THE PASSENGER SEAT WILL NOT ADJUST UP OR DOWN.,headrest,,48
000039,interior,Reading light over the rear seat does not turn on at all.,reading light,,52
000040,interior,Reading light over the rear seat does not turn on at all.,reading light,,52
000041,interior,"The driver seat heater stopped working after 6 months, only the passenger side gets warm.",driver seat,,44
000042,interior,DOOR LOCK ON THE REAR RIGHT DOOR CLICKS REPEATEDLY WHEN LOCKING.,door lock,,58
000043,interior,Cabin filter smells musty even after replacement.,cabin filter,,57
000044,interior,Side mirror does not fold automatically when locking the car.,side mirror,,53
000045,interior,"Trunk latch fails to release using the key fob, only manual opening works.",trunk latch,,18
000046,interior,Door lock on the rear right door clicks repeatedly when locking.,door lock,,58
000047,interior,READING LIGHT OVER THE REAR SEAT DOES NOT TURN ON AT ALL.,reading light,,52
000048,interior,SUNROOF MAKES A LOUD RATTLING NOISE WHEN DRIVING OVER BUMPS.,sunroof,rattling,60
