record_id,domain,language_hint,feedback
R000000,interior,en,The driver seat heater stops working after 49 minutes of driving.
R000001,interior,en,"Ambient lighting flickers randomly at night, very distracting. <p>this is a complaint</p>"
R000002,interior,en,Center console armrest is loose and wobbles when leaning on it. VIN: WDB2030461A123456
R000003,interior,en,Steering wheel heater only warms the lower half of the rim.
R000004,interior,en,"Sunroof refuses to close in cold weather, error on dashboard."
R000005,interior,en,The driver seat heater stops working after 37 minutes of driving.
R000006,powertrain,de,Dieselpartikelfilter-Regeneration schlaegt wiederholt fehl. Mercedes please help.
R000007,interior,en,"Dome light stays on after locking the car, drains the 12v battery."
R000008,display_infotainment,en,"MBUX touchscreen freezes during navigation, requires reboot.  multiple   spaces   here  "
R000009,display_infotainment,pl,"Ekran MBUX zawiesza sie podczas nawigacji, wymaga restartu. Mercedes please help."
R000010,interior,en,"Ambient lighting flickers randomly at night, very distracting."
R000011,display_infotainment,de,MBUX-Bildschirm friert waehrend der Navigation ein.
R000012,interior,en,Passenger seat ventilation makes a loud rattling noise on bumpy roads. Please fix this asap.
R000013,display_infotainment,tr,MBUX dokunmatik ekran navigasyon sirasinda donuyor.
R000014,display_infotainment,pl,Apple CarPlay rozlacza sie co 31 minut. VIN: WDB2030461A123456
R000015,interior,en,Mirror auto-dimming feature does not work at night. Mercedes please help.
R000016,interior,en,Power window switch on driver door is unresponsive intermittently. !!!!!!
R000017,interior,en,Driver seat cushion has worn through after 25 months. Plate: B-MW 1234
R000018,interior,en,Passenger seat ventilation makes a loud rattling noise on bumpy roads.
R000019,interior,en,Cabin filter smells musty even after replacement.
R000020,display_infotainment,it,Lo schermo MBUX si blocca durante la navigazione.
R000021,display_infotainment,de,Hey Mercedes Sprachassistent versteht Befehle nicht.
R000022,interior,en,Driver seat cushion has worn through after 25 months.
R000023,interior,en,"Sunroof refuses to close in cold weather, error on dashboard. !!!!!!"
R000024,interior,en,Mirror auto-dimming feature does not work at night. !!!!!!
R000025,interior,en,"Dome light stays on after locking the car, drains the 12v battery. !!!!!!"
R000026,interior,en,Center console armrest is loose and wobbles when leaning on it.
R000027,interior,en,Steering wheel heater only warms the lower half of the rim.
R000028,display_infotainment,tr,Apple CarPlay her 46 dakikada bir baglantisi kesiliyor. VIN: WDB2030461A123456
R000029,interior,en,Cup holder cracked after 55 months of normal use.  multiple   spaces   here  
R000030,powertrain,en,Electric motor produces a humming noise when accelerating from stop.
R000031,display_infotainment,de,Hey Mercedes Sprachassistent versteht Befehle nicht.
R000032,interior,en,Mirror auto-dimming feature does not work at night. Plate: B-MW 1234
R000033,display_infotainment,de,MBUX-Bildschirm friert waehrend der Navigation ein.
R000034,interior,en,Steering wheel heater only warms the lower half of the rim. !!!!!!
R000035,interior,en,Power window switch on driver door is unresponsive intermittently.
R000036,interior,en,Climate control blows cold air on driver side and hot on passenger side. VIN: WDB2030461A123456
R000037,interior,en,"Dome light stays on after locking the car, drains the 12v battery. Mercedes please help."
R000038,display_infotainment,de,Hey Mercedes Sprachassistent versteht Befehle nicht. Please fix this asap.
R000039,interior,en,"Ambient lighting flickers randomly at night, very distracting. VIN: WDB2030461A123456"
R000040,interior,en,Cabin filter smells musty even after replacement.
R000041,display_infotainment,en,Burmester audio system has static noise on right rear speaker. !!!!!!
R000042,interior,en,"Glove box latch broke, lid will not stay closed. Mercedes please help."
R000043,interior,en,Steering wheel heater only warms the lower half of the rim. Mercedes please help.
R000044,interior,en,"Rear seat belt buckle is stuck, cannot release the belt. VIN: WDB2030461A123456"
R000045,interior,en,Climate control blows cold air on driver side and hot on passenger side.
R000046,interior,en,Passenger seat ventilation makes a loud rattling noise on bumpy roads. !!!!!!
R000047,display_infotainment,pl,Asystent glosowy Hey Mercedes nie rozpoznaje polecen.
R000048,powertrain,de,Der Turbolader pfeift laut bei hoher Drehzahl.
R000049,interior,en,"Ambient lighting flickers randomly at night, very distracting. Contact me at john.doe@example.com or +49 30 1234567."
R000050,interior,en,Center console armrest is loose and wobbles when leaning on it. <p>this is a complaint</p>
R000051,interior,en,Climate control blows cold air on driver side and hot on passenger side.  multiple   spaces   here  
R000052,interior,en,Mirror auto-dimming feature does not work at night.
R000053,display_infotainment,en,GPS navigation routes through closed roads repeatedly. !!!!!!
R000054,interior,en,"Sunroof refuses to close in cold weather, error on dashboard."
R000055,interior,en,"Ambient lighting flickers randomly at night, very distracting. VIN: WDB2030461A123456"
R000056,display_infotainment,es,La pantalla MBUX se congela durante la navegacion. VIN: WDB2030461A123456
R000057,display_infotainment,tr,MBUX dokunmatik ekran navigasyon sirasinda donuyor. Please fix this asap.
R000058,interior,en,Passenger seat ventilation makes a loud rattling noise on bumpy roads. Please fix this asap.
R000059,display_infotainment,fr,La camera de recul affiche un ecran noir.  multiple   spaces   here  
R000060,interior,en,The driver seat heater stops working after 17 minutes of driving. Plate: B-MW 1234
R000061,display_infotainment,en,Hey Mercedes voice assistant does not recognize commands. <p>this is a complaint</p>
R000062,interior,en,Passenger seat ventilation makes a loud rattling noise on bumpy roads.  multiple   spaces   here  
R000063,interior,en,"Ambient lighting flickers randomly at night, very distracting."
R000064,interior,en,Climate control blows cold air on driver side and hot on passenger side.
R000065,interior,en,Driver seat cushion has worn through after 40 months. Mercedes please help.
R000066,display_infotainment,es,La pantalla MBUX se congela durante la navegacion. VIN: WDB2030461A123456
R000067,powertrain,en,EV high voltage battery range dropped 47 percent after one winter.
R000068,interior,en,"Glove box latch broke, lid will not stay closed. !!!!!!"
R000069,interior,en,Mirror auto-dimming feature does not work at night. VIN: WDB2030461A123456
R000070,interior,en,"Sunroof refuses to close in cold weather, error on dashboard."
R000071,interior,en,The driver seat heater stops working after 39 minutes of driving. VIN: WDB2030461A123456
R000072,interior,en,"Sunroof refuses to close in cold weather, error on dashboard."
R000073,interior,en,"Glove box latch broke, lid will not stay closed."
R000074,interior,en,Mirror auto-dimming feature does not work at night.
R000075,display_infotainment,en,Hey Mercedes voice assistant does not recognize commands. VIN: WDB2030461A123456
R000076,interior,en,"Glove box latch broke, lid will not stay closed. Contact me at john.doe@example.com or +49 30 1234567."
R000077,interior,en,"Ambient lighting flickers randomly at night, very distracting. <p>this is a complaint</p>"
R000078,display_infotainment,da,Bakkamera viser sort skaerm naar jeg saetter i bakgear. Plate: B-MW 1234
R000079,interior,en,Cabin filter smells musty even after replacement. Contact me at john.doe@example.com or +49 30 1234567.
R000080,display_infotainment,en,Head-up display flickers in direct sunlight.
R000081,interior,en,Steering wheel heater only warms the lower half of the rim. Please fix this asap.
R000082,interior,en,"Rear seat belt buckle is stuck, cannot release the belt. <p>this is a complaint</p>"
R000083,interior,en,"Glove box latch broke, lid will not stay closed. !!!!!!"
R000084,interior,en,Steering wheel heater only warms the lower half of the rim. <p>this is a complaint</p>
R000085,interior,en,Driver seat cushion has worn through after 8 months.
R000086,interior,en,Climate control blows cold air on driver side and hot on passenger side. Contact me at john.doe@example.com or +49 30 1234567.
R000087,interior,en,"Ambient lighting flickers randomly at night, very distracting."
R000088,interior,en,Driver seat cushion has worn through after 6 months. Contact me at john.doe@example.com or +49 30 1234567.
R000089,display_infotainment,it,Lo schermo MBUX si blocca durante la navigazione. VIN: WDB2030461A123456
R000090,interior,en,"Glove box latch broke, lid will not stay closed. VIN: WDB2030461A123456"
R000091,display_infotainment,en,Hey Mercedes voice assistant does not recognize commands.  multiple   spaces   here  
R000092,display_infotainment,en,Wireless charger overheats and stops charging the phone. Mercedes please help.
R000093,interior,en,"Sunroof refuses to close in cold weather, error on dashboard. Mercedes please help."
R000094,display_infotainment,en,Wireless charger overheats and stops charging the phone. Mercedes please help.
R000095,interior,en,Steering wheel heater only warms the lower half of the rim.
R000096,display_infotainment,fr,"L ecran MBUX se fige pendant la navigation, redemarrage requis. Contact me at john.doe@example.com or +49 30 1234567."
R000097,interior,en,Center console armrest is loose and wobbles when leaning on it. <p>this is a complaint</p>
R000098,display_infotainment,da,Bluetooth-forbindelsen afbrydes hver gang bilen genstartes. !!!!!!
R000099,powertrain,en,"12v battery drains overnight, car will not start in the morning."
R000100,interior,en,The driver seat heater stops working after 39 minutes of driving. <p>this is a complaint</p>
R000101,interior,en,Center console armrest is loose and wobbles when leaning on it. Please fix this asap.
R000102,interior,en,"Dome light stays on after locking the car, drains the 12v battery. Contact me at john.doe@example.com or +49 30 1234567."
R000103,interior,en,Driver seat cushion has worn through after 35 months.
R000104,interior,en,Climate control blows cold air on driver side and hot on passenger side.
R000105,display_infotainment,en,Hey Mercedes voice assistant does not recognize commands. Plate: B-MW 1234
R000106,interior,en,Driver seat cushion has worn through after 17 months. Mercedes please help.
R000107,interior,en,Mirror auto-dimming feature does not work at night. Plate: B-MW 1234
R000108,interior,en,"Dome light stays on after locking the car, drains the 12v battery."
R000109,interior,en,Steering wheel heater only warms the lower half of the rim. !!!!!!
R000110,interior,en,Climate control blows cold air on driver side and hot on passenger side. Please fix this asap.
R000111,display_infotainment,en,Head-up display flickers in direct sunlight. !!!!!!
R000112,powertrain,en,Electric motor produces a humming noise when accelerating from stop.
R000113,interior,en,"Glove box latch broke, lid will not stay closed. !!!!!!"
R000114,interior,en,Cup holder cracked after 50 months of normal use.
R000115,interior,en,"Dome light stays on after locking the car, drains the 12v battery. Plate: B-MW 1234"
R000116,display_infotainment,en,Hey Mercedes voice assistant does not recognize commands. VIN: WDB2030461A123456
R000117,interior,en,Power window switch on driver door is unresponsive intermittently.
R000118,display_infotainment,it,Apple CarPlay si disconnette ogni 6 minuti.
R000119,interior,en,"Ambient lighting flickers randomly at night, very distracting. Contact me at john.doe@example.com or +49 30 1234567."
R000120,display_infotainment,pl,"Ekran MBUX zawiesza sie podczas nawigacji, wymaga restartu."
R000121,interior,en,Cabin filter smells musty even after replacement. !!!!!!
R000122,interior,en,"Glove box latch broke, lid will not stay closed. VIN: WDB2030461A123456"
R000123,interior,en,"Glove box latch broke, lid will not stay closed."
R000124,display_infotainment,en,Burmester audio system has static noise on right rear speaker.
R000125,interior,en,Passenger seat ventilation makes a loud rattling noise on bumpy roads. <p>this is a complaint</p>
R000126,interior,en,Power window switch on driver door is unresponsive intermittently.
R000127,interior,en,Center console armrest is loose and wobbles when leaning on it. Please fix this asap.
R000128,interior,en,"Glove box latch broke, lid will not stay closed."
R000129,interior,en,Power window switch on driver door is unresponsive intermittently.
R000130,interior,en,Steering wheel heater only warms the lower half of the rim.
R000131,interior,en,Cup holder cracked after 51 months of normal use.
R000132,interior,en,Power window switch on driver door is unresponsive intermittently.
R000133,powertrain,de,Dieselpartikelfilter-Regeneration schlaegt wiederholt fehl. <p>this is a complaint</p>
R000134,interior,en,The driver seat heater stops working after 9 minutes of driving.
R000135,display_infotainment,pl,"Ekran MBUX zawiesza sie podczas nawigacji, wymaga restartu."
R000136,interior,en,Driver seat cushion has worn through after 25 months. Plate: B-MW 1234
R000137,interior,en,Steering wheel heater only warms the lower half of the rim.
R000138,interior,en,Cup holder cracked after 59 months of normal use.  multiple   spaces   here  
R000139,display_infotainment,en,Apple CarPlay disconnects every 59 minutes when using maps. Please fix this asap.
R000140,interior,en,"Sunroof refuses to close in cold weather, error on dashboard. !!!!!!"
R000141,interior,en,Cabin filter smells musty even after replacement. VIN: WDB2030461A123456
R000142,display_infotainment,de,Rueckfahrkamera zeigt schwarzen Bildschirm beim Einlegen des Rueckwaertsgangs. Plate: B-MW 1234
R000143,powertrain,en,Electric motor produces a humming noise when accelerating from stop.
R000144,display_infotainment,fr,"L ecran MBUX se fige pendant la navigation, redemarrage requis."
R000145,display_infotainment,en,"MBUX touchscreen freezes during navigation, requires reboot."
R000146,powertrain,de,Der Turbolader pfeift laut bei hoher Drehzahl.  multiple   spaces   here  
R000147,display_infotainment,fr,"L ecran MBUX se fige pendant la navigation, redemarrage requis. !!!!!!"
R000148,display_infotainment,fr,"L ecran MBUX se fige pendant la navigation, redemarrage requis."
R000149,interior,en,Cabin filter smells musty even after replacement. <p>this is a complaint</p>
R000150,interior,en,Driver seat cushion has worn through after 4 months. Contact me at john.doe@example.com or +49 30 1234567.
R000151,interior,en,Driver seat cushion has worn through after 60 months. Contact me at john.doe@example.com or +49 30 1234567.
R000152,interior,en,Driver seat cushion has worn through after 52 months.
R000153,interior,en,"Glove box latch broke, lid will not stay closed."
R000154,interior,en,Power window switch on driver door is unresponsive intermittently.
R000155,display_infotainment,en,Bluetooth pairing drops every time the car is restarted. Please fix this asap.
R000156,interior,en,Steering wheel heater only warms the lower half of the rim. !!!!!!
R000157,display_infotainment,da,Bluetooth-forbindelsen afbrydes hver gang bilen genstartes. Please fix this asap.
R000158,display_infotainment,en,Backup camera shows black screen when reverse is engaged.
R000159,interior,en,Power window switch on driver door is unresponsive intermittently.
R000160,interior,en,Steering wheel heater only warms the lower half of the rim. Please fix this asap.
R000161,powertrain,de,Der Turbolader pfeift laut bei hoher Drehzahl. Mercedes please help.
R000162,interior,en,Climate control blows cold air on driver side and hot on passenger side.
R000163,interior,en,"Dome light stays on after locking the car, drains the 12v battery."
R000164,interior,en,Center console armrest is loose and wobbles when leaning on it. Mercedes please help.
R000165,interior,en,Mirror auto-dimming feature does not work at night.  multiple   spaces   here  
R000166,interior,en,Center console armrest is loose and wobbles when leaning on it. <p>this is a complaint</p>
R000167,powertrain,en,EV high voltage battery range dropped 25 percent after one winter. Mercedes please help.
R000168,interior,en,"Glove box latch broke, lid will not stay closed. Please fix this asap."
