record_id,domain,language,original_text,clean_text,cluster_id,cluster_prob,cluster_id_final,component,failure_type,symptom,description,x_2d,y_2d
C00001,unknown,en,Burmester audio system has static on the right rear speaker. €4000 option btw. Cool cool cool.,Burmester audio system has static on the right rear speaker. €4000 option btw. Cool cool cool.,3,1.0,3,burmester audio,static,Burmester audio system has static on the right rear speaker.,burmester audio - static,-5.2646976,-2.130518
C00002,unknown,en,Power window on driver side decides whether to work each morning. It's like a coin flip. A €600 coin flip when it dies fully.,Power window on driver side decides whether to work each morning. It's like a coin flip. A €600 coin flip when it dies fully.,3,1.0,3,power window,,,power window - issue reported,-4.5697722,-2.3071377
C00003,unknown,es,La cámara de marcha atrás se ve negra cuando llueve. Justo cuando la necesito. Magnífico.,La cámara de marcha atrás se ve negra cuando llueve. Justo cuando la necesito. Magnífico.,3,1.0,3,,,,,-6.0710516,-2.7790003
C00004,unknown,pl,No serio?? Kupiłem nowego Mercedesa i bluetooth się rozłącza co minutę. Słabo to wygląda.,No serio?? Kupiłem nowego Mercedesa i bluetooth się rozłącza co minutę. Słabo to wygląda.,-1,0.0,-1,,,,,-5.4487715,-2.7253783
C00005,unknown,da,Sædevarmen fungerer kun nogle gange. Tilfældigt. Jeg har givet op og købt et tæppe.,Sædevarmen fungerer kun nogle gange. Tilfældigt. Jeg har givet op og købt et tæppe.,3,1.0,3,,,,,-5.4387007,-1.9759259
C00006,unknown,pl,"Klimatyzacja dmucha zimnym z jednej strony, gorącym z drugiej. To jest jakiś żart??","Klimatyzacja dmucha zimnym z jednej strony, gorącym z drugiej. To jest jakiś żart??",3,1.0,3,,,,,-5.91662,-2.3806686
C00007,unknown,en,Frustrated beyond words. Backup camera shows a black screen every time it rains. So basically useless when I actually need it.,Frustrated beyond words. Backup camera shows a black screen every time it rains. So basically useless when I actually need it.,-1,0.0,-1,backup camera,black screen,Backup camera shows a black screen every time it rains.,backup camera - black screen,-5.3134212,-2.4693623
C00008,unknown,es,La calefacción del asiento solo funciona el lunes (broma). En realidad funciona aleatoriamente.,La calefacción del asiento solo funciona el lunes (broma). En realidad funciona aleatoriamente.,3,1.0,3,,,,,-5.732063,-3.1065743
C00009,unknown,fr,La caméra de recul est noire dès qu'il pleut. Donc inutile 6 mois par an en France. Bravo.,La caméra de recul est noire dès qu'il pleut. Donc inutile 6 mois par an en France. Bravo.,3,1.0,3,,,,,-5.9695377,-2.9299777
C00010,unknown,en,"I just want to vent — climate control blows ice cold on driver side and SAUNA on passenger side. Three visits, no fix. I'm done.","I just want to vent — climate control blows ice cold on driver side and SAUNA on passenger side. Three visits, no fix. I'm done.",3,1.0,3,climate control,,,climate control - issue reported,-4.7968125,-2.5307212
C00011,unknown,de,"Mein Händler sagt 'das ist normal'. Sorry aber NEIN, das ist NICHT normal wenn der Bildschirm 3x am Tag abstürzt.","Mein Händler sagt 'das ist normal'. Sorry aber NEIN, das ist NICHT normal wenn der Bildschirm 3x am Tag abstürzt.",2,0.6951572061538686,2,,,,,-4.1896424,-5.4148088
C00012,unknown,it,Il filtro dell'aria puzza di muffa anche dopo la sostituzione. Ma scherziamo?,Il filtro dell'aria puzza di muffa anche dopo la sostituzione. Ma scherziamo?,3,1.0,3,,,,,-6.1887054,-2.63524
C00013,unknown,en,"I'm SO over this. Driver seat heater stopped working AGAIN, third time in 6 months. What am I even paying for??","I'm SO over this. Driver seat heater stopped working AGAIN, third time in 6 months. What am I even paying for??",3,1.0,3,driver seat,,,driver seat - issue reported,-4.3185964,-2.8718872
C00014,unknown,da,Helt ærligt jeg er træt af det her. MBUX skærmen fryser hver gang jeg bruger Apple CarPlay. Hvad sker der?,Helt ærligt jeg er træt af det her. MBUX skærmen fryser hver gang jeg bruger Apple CarPlay. Hvad sker der?,3,1.0,3,mbux,,,mbux - issue reported,-2.7514584,-4.779167
C00015,unknown,tr,"Yağ kokusu motordan geliyor, üç kez serviste hala çözüm yok. Pes.","Yağ kokusu motordan geliyor, üç kez serviste hala çözüm yok. Pes.",3,1.0,3,,,,,-5.741759,-2.3324869
